,citingPaperID,source,string,label,sentiment
2305,f6e7d88342d23cdc6dc959b16106b6bb05fa807a>0fee7f15bb7d5813de71b2951c5d118fbcdd4832_0,explicit,"Utilizing gain-offunction assays, we demonstrate that enhancing actin polymer-\nthese proteins does not increase SV density (Scheiffele et al., 2000; Bamji et al., 2003; Sara et al., 2005; Latefi et al., 2009; Linhoff et al., 2009).",method,
3210,51439b498621806aa3a915fdbd4aa983473da397>6eb725dc2d318750265f1c8e64ee12c4b286a796_1,explicit,"maticity, refractoriness and conduction of the heart are conserved between zebrafish and humans [44, 46].",background,
4484,64cf98067d1cadda174e5ffa24fc45a6b3e6426f>2d04ac3be66a1148b0e0aeb687d0345841ca674f_0,explicit,"For reovirus 1/L-induced ARDS, at day 9 postinoculation, there is a severe pneumonia (peribronchiolar lesions with lymphocytic infiltration) with the presence of hyaline membranes, which are pathognomonic for human ARDS (20, 21).",background,
5821,9b6d433ab5104713ee41fbeb24b4d0f2b82fe587>9515894ed25dbdf24e8187e166a6e9bcb7cce1c1_1,explicit,"Besides that, no ameliorate impacts have been obtained on the use of antioxidants in some studies (12,13).",background,
3514,15ac5bcd9ca900dc948e969558670084e3d560e0>5297cce880dad7881b5f4c16b683f971363f009a_4,explicit,"However, limited information is available about molecular mechanisms of HM tolerance and detoxification in trees, and most of HM related genes in woody plants are restricted to Populus (Luo et al., 2016).",background,
627,8c6cce1fbc57de411affb7d09fe11b1d2c6e5861>eac9c263d99f397dfc2518ac55f610130aac32a7_0,explicit,"A recent qualitative study explored the views of individuals living with SCI towards the descriptive systems of six established instruments (15D, AQoL 8-dimension questionnaire (AQoL-8D) [28], EQ5D-5L [29], HUI, QWB-SA [30] and the SF-36v2 [31]) [32].",background,
536,d589dbea5c3743b8b8b8857d2f729e0fefff6790>f852f6d52948cc94f04225b8268f09a543727684_5,explicit,"In\naddition, there are continued new developments in lowcost, light-weight, and long-duration UAVs (Lucieer et al. 2014).",background,
2414,96e4832d62cfde2cc818aa932b298dd9ea3c2e3c>3c72a28a95fbca56237572416af8ecf1612b0fcf_2,explicit,"These results are consistent with our previous in vitro finding that Sef loss can enhance FGF-mediated induction of MMP9 in prostate cancer cells, which facilitates tumour cell invasion and migration [20].",result,
644,5ddd341c20f323d736e9b3899ad20561c9bdbeea>8f2cfced117e54b3e1ba97b0e43f34e0ec747952_2,explicit,"Typically however, when a fungus was isolated from a seed, it was the only isolate, and roughly 74% seeds were free of all culturable fungi (Shipunov et al., 2008).",background,
7534,a69bb3e0deb2b7140547f114381ccac97a81fd16>878bcdda5eaa502eb6834d9366c9bf5746a1072a_1,explicit,"Subsequently, Shirure et al have shown that MAC-2BP carrying sLex was functionally involved in ZR-75-1 rolling on HUVECs cultured as monolayer (8).",background,
